Release_Date,Movie_Title,Production_Budget,Domestic_Gross,Worldwide_Gross
2005-06-05,Kingdom of Heaven,110000000,47398413,218674938
2017-03-23,Ghost in the Shell,110000000,40563557,167910690
2004-06-16,Around the World in 80 Days,110000000,24004159,72004159
2003-11-21,The Cat in the Hat,109000000,101018283,133818283
2001-12-25,Ali,109000000,58183966,87683966
2015-09-30,The Martian,108000000,228433663,655111538
2016-11-20,Allied,106000000,40098064,119266661
2004-07-16,I Robot,105000000,144801023,348629585
1999-12-17,Stuart Little,105000000,140015224,298815224
2009-11-25,The Princess and the Frog,105000000,104400899,270997378
2008-07-03,10000 B.C.,105000000,94784201,269065678
2016-01-07,Ice Age: Collision Course,105000000,64063008,402156682
2001-04-27,Town & Country,105000000,6712451,10364769
2017-09-19,Kingsman: The Golden Circle,104000000,100234838,408803696
2000-09-06,Gone in 60 Seconds,103300000,101643008,232643008
2000-04-05,Gladiator,103000000,187683805,456435588
2013-05-23,The Hangover 3,103000000,112200072,362000072
2018-09-03,A Wrinkle in Time,103000000,100478608,133214549
2009-01-07,Public Enemies,102500000,97104620,212282709
2002-06-21,Minority Report,102000000,132024714,358824714
2018-12-13,Bumblebee,102000000,127195589,465195589
2012-10-26,Cloud Atlas,102000000,27108272,130673154
2002-11-15,Harry Potter and the Chamber of Secrets,100000000,262233381,875262553
1991-02-07,Terminator 2: Judgment Day,100000000,203464105,515390883
1995-06-16,Batman Forever,100000000,184031112,336529144
2001-07-27,Planet of the Apes,100000000,180011740,362211740
2004-11-19,National Treasure,100000000,173005002,331323410
2012-12-25,Django Unchained,100000000,162805434,449841566
2019-12-25,1917,100000000,159227644,370603379
2010-12-22,Little Fockers,100000000,148438600,310650574
1994-07-15,True Lies,100000000,146282411,365300000
2007-02-11,American Gangster,100000000,130164645,267985456
2009-09-18,Cloudy with a Chance of Meatballs,100000000,124870275,236827677
2010-06-08,The Other Guys,100000000,119219978,170936470
2004-12-17,Lemony Snicket's A Series of Unfortunate Events,100000000,118627117,212956024
2013-12-25,The Wolf of Wall Street,100000000,116949183,389918903
2013-05-24,Epic,100000000,107518682,262794441
1996-06-21,Eraser,100000000,101295562,234400000
1996-06-21,The Hunchback of Notre Dame,100000000,100138851,325500000
2000-12-15,The Emperor's New Groove,100000000,89630573,169630573
2012-08-15,The Expendables 2,100000000,85028192,311979256
2009-10-16,Where the Wild Things Are,100000000,77233467,99123656
2006-12-15,Eragon,100000000,75030163,249488115
2010-10-12,The Tourist,100000000,67631157,278731369
1999-11-24,End of Days,100000000,66889043,212026975
2019-12-25,Spies in Disguise,100000000,66757013,165138481
